locus_tag	ftype	length_bp	gene	EC_number	COG	product
AGMPGHNC_00044	CDS	390	cheY		COG0784	Chemotaxis protein CheY
AGMPGHNC_00045	CDS	648	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
AGMPGHNC_00046	CDS	1152	flhB		COG1377	Flagellar biosynthetic protein FlhB
AGMPGHNC_00047	CDS	2079	flhA		COG1298	Flagellar biosynthesis protein FlhA
AGMPGHNC_00048	CDS	393	flhE			Flagellar protein FlhE
AGMPGHNC_00049	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
AGMPGHNC_00050	CDS	1872	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
AGMPGHNC_00051	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
AGMPGHNC_00052	CDS	570	yecM		COG3102	Protein YecM
AGMPGHNC_00053	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
AGMPGHNC_00054	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
AGMPGHNC_00055	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
AGMPGHNC_00056	CDS	396	yecN		COG3788	Inner membrane protein YecN
AGMPGHNC_00057	CDS	819				hypothetical protein
AGMPGHNC_00058	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
AGMPGHNC_00059	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
AGMPGHNC_00060	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
AGMPGHNC_00061	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
AGMPGHNC_00062	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
AGMPGHNC_00063	CDS	600				hypothetical protein
AGMPGHNC_00064	CDS	651				hypothetical protein
AGMPGHNC_00065	CDS	246				hypothetical protein
AGMPGHNC_00066	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
AGMPGHNC_00067	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
AGMPGHNC_00068	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
AGMPGHNC_00069	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
AGMPGHNC_00070	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
AGMPGHNC_00071	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
AGMPGHNC_00072	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
AGMPGHNC_00073	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
AGMPGHNC_00074	CDS	870	hexR_1		COG1737	HTH-type transcriptional regulator HexR
AGMPGHNC_00075	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
AGMPGHNC_00076	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
AGMPGHNC_00077	CDS	642	eda		COG0800	KHG/KDPG aldolase
AGMPGHNC_00078	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
AGMPGHNC_00079	CDS	291				hypothetical protein
AGMPGHNC_00080	CDS	354	yebF			Protein YebF
AGMPGHNC_00081	CDS	660	yebE		COG2979	Inner membrane protein YebE
AGMPGHNC_00082	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
AGMPGHNC_00083	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
AGMPGHNC_00084	CDS	657				hypothetical protein
AGMPGHNC_00085	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
AGMPGHNC_00086	CDS	375	yobA		COG2372	Protein YobA
AGMPGHNC_00087	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
AGMPGHNC_00088	CDS	354				hypothetical protein
AGMPGHNC_00089	CDS	855				hypothetical protein
AGMPGHNC_00090	CDS	654				hypothetical protein
AGMPGHNC_00091	CDS	231				hypothetical protein
AGMPGHNC_00092	CDS	534				hypothetical protein
AGMPGHNC_00093	CDS	168				hypothetical protein
AGMPGHNC_00094	CDS	264				hypothetical protein
AGMPGHNC_00095	tRNA	76				tRNA-Glu(ttc)
AGMPGHNC_00096	tRNA	77				tRNA-Arg(acg)
AGMPGHNC_00097	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
AGMPGHNC_00098	CDS	582	slp		COG3065	Outer membrane protein Slp
AGMPGHNC_00099	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
AGMPGHNC_00100	CDS	1911	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
AGMPGHNC_00101	CDS	345	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
AGMPGHNC_00102	CDS	180				hypothetical protein
AGMPGHNC_00103	CDS	1365	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
AGMPGHNC_00104	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
AGMPGHNC_00105	CDS	1365	sdaA_1	4.3.1.17	COG1760	L-serine dehydratase 1
AGMPGHNC_00106	CDS	1602	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
AGMPGHNC_00107	CDS	1560				hypothetical protein
AGMPGHNC_00108	CDS	969	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
AGMPGHNC_00109	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
AGMPGHNC_00110	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
AGMPGHNC_00111	CDS	459				hypothetical protein
AGMPGHNC_00112	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
AGMPGHNC_00113	CDS	810	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
AGMPGHNC_00114	CDS	1746	ftsI_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
AGMPGHNC_00115	CDS	210	cspC			Cold shock-like protein CspC
AGMPGHNC_00116	CDS	288				hypothetical protein
AGMPGHNC_00117	CDS	144	mgrB			PhoP/PhoQ regulator MgrB
AGMPGHNC_00118	CDS	240				hypothetical protein
AGMPGHNC_00119	CDS	792	kdgR		COG1414	Transcriptional regulator KdgR
AGMPGHNC_00120	CDS	1374	ribZ			Riboflavin transporter RibZ
AGMPGHNC_00121	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
AGMPGHNC_00122	CDS	246				IS200/IS605 family transposase IS200F
AGMPGHNC_00123	CDS	531	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
AGMPGHNC_00124	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
AGMPGHNC_00125	CDS	270	yihD		COG3084	Protein YihD
AGMPGHNC_00126	CDS	987	rdoA	2.7.11.1	COG2334	Serine/threonine protein kinase RdoA
AGMPGHNC_00127	CDS	624	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
AGMPGHNC_00128	CDS	909	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
AGMPGHNC_00129	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
AGMPGHNC_00130	CDS	633	engB		COG0218	putative GTP-binding protein EngB
AGMPGHNC_00131	CDS	198				hypothetical protein
AGMPGHNC_00132	CDS	516	yihI		COG3078	Der GTPase-activating protein YihI
AGMPGHNC_00133	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
AGMPGHNC_00134	CDS	111	yshB			putative protein YshB
AGMPGHNC_00135	CDS	1410	glnG		COG2204	DNA-binding transcriptional regulator NtrC
AGMPGHNC_00136	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
AGMPGHNC_00137	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
AGMPGHNC_00138	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
AGMPGHNC_00139	CDS	735	ybhA_1	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
AGMPGHNC_00140	CDS	879				hypothetical protein
AGMPGHNC_00141	CDS	1242	hemW_1		COG0635	Heme chaperone HemW
AGMPGHNC_00142	CDS	876				hypothetical protein
AGMPGHNC_00143	CDS	1026				hypothetical protein
AGMPGHNC_00144	CDS	849				hypothetical protein
AGMPGHNC_00145	CDS	693	ompL			Porin OmpL
AGMPGHNC_00146	CDS	1422	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
AGMPGHNC_00147	CDS	1383	yihP_2		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
AGMPGHNC_00148	CDS	2037	yihQ	3.2.1.199	COG1501	Sulfoquinovosidase
AGMPGHNC_00149	CDS	843	yihR		COG2017	putative protein YihR
AGMPGHNC_00150	CDS	1242	yihS	5.3.1.31	COG2942	Sulfoquinovose isomerase
AGMPGHNC_00151	CDS	879	yihT	4.1.2.57	COG3684	Sulfofructosephosphate aldolase
AGMPGHNC_00152	CDS	897	yihU	1.1.1.373	COG2084	3-sulfolactaldehyde reductase
AGMPGHNC_00153	CDS	897	yihV	2.7.1.184		Sulfofructose kinase
AGMPGHNC_00154	CDS	804	csqR		COG1349	HTH-type transcriptional repressor CsqR
AGMPGHNC_00155	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
AGMPGHNC_00156	CDS	780				hypothetical protein
AGMPGHNC_00157	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
AGMPGHNC_00158	CDS	942				hypothetical protein
AGMPGHNC_00159	CDS	447	higA		COG5499	Antitoxin HigA
AGMPGHNC_00160	CDS	312	higB	3.1.-.-	COG4680	mRNA interferase HigB
AGMPGHNC_00161	CDS	930	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
AGMPGHNC_00162	CDS	312	higB-2		COG2026	Toxin HigB-2
AGMPGHNC_00163	CDS	291				hypothetical protein
AGMPGHNC_00164	CDS	930	fdhE		COG3058	Protein FdhE
AGMPGHNC_00165	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
AGMPGHNC_00166	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
AGMPGHNC_00167	CDS	2415	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
AGMPGHNC_00168	CDS	588	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
AGMPGHNC_00169	CDS	837	fdhD		COG1526	Sulfur carrier protein FdhD
AGMPGHNC_00170	CDS	1032				hypothetical protein
AGMPGHNC_00171	CDS	1101				hypothetical protein
AGMPGHNC_00172	CDS	324				hypothetical protein
AGMPGHNC_00173	CDS	660				hypothetical protein
AGMPGHNC_00174	CDS	549	sutR_1		COG1396	HTH-type transcriptional regulator SutR
AGMPGHNC_00175	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
AGMPGHNC_00176	CDS	1149	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
AGMPGHNC_00177	CDS	828	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
AGMPGHNC_00178	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
AGMPGHNC_00179	CDS	1470	rhaB	2.7.1.5		Rhamnulokinase
AGMPGHNC_00180	CDS	489	rhaS_1			HTH-type transcriptional activator RhaS
AGMPGHNC_00181	CDS	849	rhaR_1			HTH-type transcriptional activator RhaR
AGMPGHNC_00182	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
AGMPGHNC_00183	CDS	672	kdgM_1			Oligogalacturonate-specific porin KdgM
AGMPGHNC_00184	CDS	1308	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
AGMPGHNC_00185	CDS	516				hypothetical protein
AGMPGHNC_00186	CDS	984			COG1638	Solute-binding protein
AGMPGHNC_00187	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
AGMPGHNC_00188	CDS	690	yiiM		COG2258	Protein YiiM
AGMPGHNC_00189	CDS	396				hypothetical protein
AGMPGHNC_00190	CDS	1374	cpxA	2.7.13.3		Sensor histidine kinase CpxA
AGMPGHNC_00191	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
AGMPGHNC_00192	CDS	501	cpxP		COG3678	Periplasmic protein CpxP
AGMPGHNC_00193	CDS	903	fieF		COG0053	Ferrous-iron efflux pump FieF
AGMPGHNC_00194	CDS	963	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
AGMPGHNC_00195	CDS	990	sbp		COG1613	Sulfate-binding protein
AGMPGHNC_00196	CDS	756	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
AGMPGHNC_00197	CDS	1335	yagG		COG2211	Putative glycoside/cation symporter YagG
AGMPGHNC_00198	CDS	960	scrK	2.7.1.4	COG0524	Fructokinase
AGMPGHNC_00199	CDS	1041				hypothetical protein
AGMPGHNC_00200	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
AGMPGHNC_00201	CDS	165				hypothetical protein
AGMPGHNC_00202	CDS	351				hypothetical protein
AGMPGHNC_00203	CDS	1593	lsrK	2.7.1.189	COG1070	Autoinducer-2 kinase
AGMPGHNC_00204	CDS	960	lsrR		COG2390	Transcriptional regulator LsrR
AGMPGHNC_00205	CDS	1536	lsrA	3.6.3.-	COG1129	Autoinducer 2 import ATP-binding protein LsrA
AGMPGHNC_00206	CDS	1044	lsrC		COG1172	Autoinducer 2 import system permease protein LsrC
AGMPGHNC_00207	CDS	999	lsrD			Autoinducer 2 import system permease protein LsrD
AGMPGHNC_00208	CDS	1023	lsrB			Autoinducer 2-binding protein LsrB
AGMPGHNC_00209	CDS	876	lsrF	2.3.1.245	COG1830	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
AGMPGHNC_00210	CDS	330	lsrG	5.3.1.32	COG1359	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
AGMPGHNC_00211	CDS	765	lsrE	5.1.3.-	COG0036	Putative epimerase LsrE
AGMPGHNC_00212	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
AGMPGHNC_00213	CDS	597				hypothetical protein
AGMPGHNC_00214	CDS	429				hypothetical protein
AGMPGHNC_00215	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
AGMPGHNC_00216	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
AGMPGHNC_00217	CDS	1509	glpK_1	2.7.1.30	COG0554	Glycerol kinase
AGMPGHNC_00218	CDS	846	glpF		COG0580	Glycerol uptake facilitator protein
AGMPGHNC_00219	CDS	240	zapB		COG3074	Cell division protein ZapB
AGMPGHNC_00220	CDS	486	rraA		COG0684	Regulator of ribonuclease activity A
AGMPGHNC_00221	CDS	930	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
AGMPGHNC_00222	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
AGMPGHNC_00223	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
AGMPGHNC_00224	CDS	882	ftsN		COG3087	Cell division protein FtsN
AGMPGHNC_00225	CDS	1026	cytR		COG1609	HTH-type transcriptional repressor CytR
AGMPGHNC_00226	CDS	2199	priA	3.6.4.-	COG1198	Primosomal protein N'
AGMPGHNC_00227	CDS	213	rpmE		COG0254	50S ribosomal protein L31
AGMPGHNC_00228	CDS	663				hypothetical protein
AGMPGHNC_00229	CDS	1791	assT_1	2.8.2.22		Arylsulfate sulfotransferase AssT
AGMPGHNC_00230	CDS	318	metJ		COG3060	Met repressor
AGMPGHNC_00231	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
AGMPGHNC_00232	CDS	2433	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
AGMPGHNC_00233	CDS	858	mscS_1		COG0668	Small-conductance mechanosensitive channel
AGMPGHNC_00234	CDS	999				hypothetical protein
AGMPGHNC_00235	CDS	1125				hypothetical protein
AGMPGHNC_00236	CDS	1557	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
AGMPGHNC_00237	CDS	891	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
AGMPGHNC_00238	CDS	2181	katG	1.11.1.21	COG0376	Catalase-peroxidase
AGMPGHNC_00239	CDS	624				hypothetical protein
AGMPGHNC_00240	CDS	1104	gldA_1	1.1.1.6	COG0371	Glycerol dehydrogenase
AGMPGHNC_00241	CDS	663	fsaB	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 2
AGMPGHNC_00242	CDS	2502	fryA		COG1080	Multiphosphoryl transfer protein 1
AGMPGHNC_00243	CDS	1080	manP		COG1299	PTS system mannose-specific EIIBCA component
AGMPGHNC_00244	CDS	321	fryB	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
AGMPGHNC_00245	CDS	2298	cutC_2	4.3.99.4	COG1882	Choline trimethylamine-lyase
AGMPGHNC_00246	CDS	879	bssD	1.97.1.-		Benzylsuccinate synthase activating enzyme
AGMPGHNC_00247	CDS	354	frwD	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
AGMPGHNC_00248	CDS	297	araC_1			Arabinose operon regulatory protein
AGMPGHNC_00249	CDS	450				hypothetical protein
AGMPGHNC_00250	CDS	1734	cptA	2.7.-.-	COG2194	Phosphoethanolamine transferase CptA
AGMPGHNC_00251	CDS	2652	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
AGMPGHNC_00252	CDS	1152	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
AGMPGHNC_00253	CDS	1005	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
AGMPGHNC_00254	CDS	777	argB	2.7.2.8	COG0548	Acetylglutamate kinase
AGMPGHNC_00255	CDS	1377	argH	4.3.2.1	COG0165	Argininosuccinate lyase
AGMPGHNC_00256	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
AGMPGHNC_00257	CDS	1401	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
AGMPGHNC_00258	CDS	636	fabR		COG1309	HTH-type transcriptional repressor FabR
AGMPGHNC_00259	CDS	360	yijD			Inner membrane protein YijD
AGMPGHNC_00260	CDS	1101	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
AGMPGHNC_00261	CDS	1845	btuB		COG4206	Vitamin B12 transporter BtuB
AGMPGHNC_00262	CDS	852	murI	5.1.1.3	COG0796	Glutamate racemase
AGMPGHNC_00263	CDS	159				hypothetical protein
AGMPGHNC_00264	CDS	411				hypothetical protein
AGMPGHNC_00265	CDS	240				hypothetical protein
AGMPGHNC_00266	CDS	321				hypothetical protein
AGMPGHNC_00267	CDS	978				hypothetical protein
AGMPGHNC_00268	CDS	750	dnaC_1		COG1484	DNA replication protein DnaC
AGMPGHNC_00269	CDS	348				hypothetical protein
AGMPGHNC_00270	CDS	159				hypothetical protein
AGMPGHNC_00271	CDS	405				hypothetical protein
AGMPGHNC_00272	CDS	237				hypothetical protein
AGMPGHNC_00273	CDS	321				hypothetical protein
AGMPGHNC_00274	CDS	978				hypothetical protein
AGMPGHNC_00275	CDS	750	dnaC_2		COG1484	DNA replication protein DnaC
AGMPGHNC_00276	CDS	348				hypothetical protein
AGMPGHNC_00277	CDS	705	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
AGMPGHNC_00278	CDS	1428	hsrA			putative transport protein HsrA
AGMPGHNC_00279	CDS	990	rbsR		COG1609	Ribose operon repressor
AGMPGHNC_00280	CDS	930	rbsK_1	2.7.1.15	COG0524	Ribokinase
AGMPGHNC_00281	CDS	891	rbsB		COG1879	Ribose import binding protein RbsB
AGMPGHNC_00282	CDS	966	rbsC		COG1172	Ribose import permease protein RbsC
AGMPGHNC_00283	CDS	1506	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
AGMPGHNC_00284	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
AGMPGHNC_00285	CDS	1869	kup			Low affinity potassium transport system protein kup
AGMPGHNC_00286	CDS	1497	ravA	3.6.3.-	COG0714	ATPase RavA
AGMPGHNC_00287	CDS	1452	viaA		COG2425	Protein ViaA
AGMPGHNC_00288	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
AGMPGHNC_00289	CDS	459	asnC		COG1522	Regulatory protein AsnC
AGMPGHNC_00290	CDS	444	mioC		COG0716	Protein MioC
AGMPGHNC_00291	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
AGMPGHNC_00292	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
AGMPGHNC_00293	CDS	381	atpI		COG3312	ATP synthase protein I
AGMPGHNC_00294	CDS	816	atpB		COG0356	ATP synthase subunit a
AGMPGHNC_00295	CDS	240	atpE		COG0636	ATP synthase subunit c
AGMPGHNC_00296	CDS	471	atpF		COG0711	ATP synthase subunit b
AGMPGHNC_00297	CDS	534	atpH		COG0712	ATP synthase subunit delta
AGMPGHNC_00298	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
AGMPGHNC_00299	CDS	864	atpG		COG0224	ATP synthase gamma chain
AGMPGHNC_00300	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
AGMPGHNC_00301	CDS	420	atpC		COG0355	ATP synthase epsilon chain
AGMPGHNC_00302	CDS	699				hypothetical protein
AGMPGHNC_00303	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
AGMPGHNC_00304	CDS	1830	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
AGMPGHNC_00305	CDS	1791	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
AGMPGHNC_00306	CDS	819	sdhL	1.1.1.25	COG0169	Shikimate dehydrogenase-like protein
AGMPGHNC_00307	CDS	1374	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
AGMPGHNC_00308	CDS	102				hypothetical protein
AGMPGHNC_00309	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
AGMPGHNC_00310	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
AGMPGHNC_00311	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
AGMPGHNC_00312	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
AGMPGHNC_00313	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
AGMPGHNC_00314	CDS	648	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
AGMPGHNC_00315	CDS	1338	adeP		COG2252	Adenine permease AdeP
AGMPGHNC_00316	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
AGMPGHNC_00317	CDS	756				hypothetical protein
AGMPGHNC_00318	CDS	960	yidZ_1			HTH-type transcriptional regulator YidZ
AGMPGHNC_00319	CDS	1188	mdtL			Multidrug resistance protein MdtL
AGMPGHNC_00320	CDS	162				hypothetical protein
AGMPGHNC_00321	CDS	936				hypothetical protein
AGMPGHNC_00322	CDS	963				hypothetical protein
AGMPGHNC_00323	CDS	708	intA_1		COG0582	Prophage integrase IntA
AGMPGHNC_00324	CDS	495	intA_2		COG0582	Prophage integrase IntA
AGMPGHNC_00325	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
AGMPGHNC_00326	CDS	1647	yidC			Membrane protein insertase YidC
AGMPGHNC_00327	CDS	198				hypothetical protein
AGMPGHNC_00328	CDS	1401	dnaA		COG0593	Chromosomal replication initiator protein DnaA
AGMPGHNC_00329	CDS	1101	dnaN		COG0592	Beta sliding clamp
AGMPGHNC_00330	CDS	1074	recF_1		COG1195	DNA replication and repair protein RecF
