locus_tag	ftype	length_bp	gene	EC_number	COG	product
GJMMAFOP_00266	CDS	1449	norG_1		COG1167	HTH-type transcriptional regulator NorG
GJMMAFOP_00267	CDS	612	argO_1		COG1279	Arginine exporter protein ArgO
GJMMAFOP_00268	CDS	510				hypothetical protein
GJMMAFOP_00269	CDS	1029	iolX_1	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
GJMMAFOP_00270	CDS	1014	degA_1		COG1609	HTH-type transcriptional regulator DegA
GJMMAFOP_00271	CDS	864	araC			Arabinose operon regulatory protein
GJMMAFOP_00272	CDS	1368	yeeO_1		COG0534	putative FMN/FAD exporter YeeO
GJMMAFOP_00273	CDS	804	yisP	2.5.1.-	COG1562	Putative phytoene/squalene synthase YisP
GJMMAFOP_00274	CDS	510	yizA_1		COG2318	putative protein YizA
GJMMAFOP_00275	CDS	1845	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
GJMMAFOP_00276	CDS	564				hypothetical protein
GJMMAFOP_00277	CDS	2685	wprA_1	3.4.21.-	COG1404	Cell wall-associated protease
GJMMAFOP_00278	CDS	357				hypothetical protein
GJMMAFOP_00279	CDS	906	yisK_1		COG0179	putative protein YisK
GJMMAFOP_00280	CDS	924	cotH_1		COG5337	Inner spore coat protein H
GJMMAFOP_00281	CDS	171	yisI	3.1.3.-		Aspartyl-phosphate phosphatase YisI
GJMMAFOP_00282	CDS	222	gerPA_1			putative spore germination protein GerPA
GJMMAFOP_00283	CDS	234	gerPB_1			putative spore germination protein GerPB
GJMMAFOP_00284	CDS	618	gerPC_1			putative spore germination protein GerPC
GJMMAFOP_00285	CDS	177	gerPD_1			putative spore germination protein GerPD
GJMMAFOP_00286	CDS	402	gerPE_1			putative spore germination protein GerPE
GJMMAFOP_00287	CDS	219	gerPF_1			putative spore germination protein GerPF
GJMMAFOP_00288	CDS	303				hypothetical protein
GJMMAFOP_00289	CDS	3393				hypothetical protein
GJMMAFOP_00290	CDS	1176	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
GJMMAFOP_00291	CDS	3699	addA_1	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
GJMMAFOP_00292	CDS	3501	addB_1	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
GJMMAFOP_00293	CDS	438				hypothetical protein
GJMMAFOP_00294	CDS	327	yhjQ_1		COG1145	putative cysteine-rich protein YhjQ
GJMMAFOP_00295	CDS	1728	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
GJMMAFOP_00296	CDS	1206	mdrP_1			Na(+), Li(+), K(+)/H(+) antiporter
GJMMAFOP_00297	CDS	1155				hypothetical protein
GJMMAFOP_00298	CDS	990	cytR		COG1609	HTH-type transcriptional repressor CytR
GJMMAFOP_00299	CDS	1326	ntdA_1	2.6.1.104	COG0399	3-oxo-glucose-6-phosphate:glutamate aminotransferase
GJMMAFOP_00300	CDS	849	ntdB_1	3.1.3.92	COG0561	Kanosamine-6-phosphate phosphatase
GJMMAFOP_00301	CDS	783	uppS_1	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
GJMMAFOP_00302	CDS	801				hypothetical protein
GJMMAFOP_00303	CDS	1152	dxr_1	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
GJMMAFOP_00304	CDS	1263	rasP_1	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
GJMMAFOP_00305	CDS	1695	proS_1	6.1.1.15		Proline--tRNA ligase
GJMMAFOP_00306	CDS	4365	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
GJMMAFOP_00307	CDS	471	rimP_1		COG0779	Ribosome maturation factor RimP
GJMMAFOP_00308	CDS	1116	nusA_1		COG0195	Transcription termination/antitermination protein NusA
GJMMAFOP_00309	CDS	276				hypothetical protein
GJMMAFOP_00310	CDS	303	rplGA_1		COG1358	putative ribosomal protein YlxQ
GJMMAFOP_00311	CDS	2151	infB_1			Translation initiation factor IF-2
GJMMAFOP_00312	CDS	279				hypothetical protein
GJMMAFOP_00313	CDS	354	rbfA_1			Ribosome-binding factor A
GJMMAFOP_00314	CDS	930	truB_1	5.4.99.25		tRNA pseudouridine synthase B
GJMMAFOP_00315	CDS	951	ribF_1		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
GJMMAFOP_00316	CDS	270	rpsO_1		COG0184	30S ribosomal protein S15
GJMMAFOP_00317	CDS	2118	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
GJMMAFOP_00318	CDS	960				hypothetical protein
GJMMAFOP_00319	CDS	1230		3.4.24.-	COG0612	putative zinc protease
GJMMAFOP_00320	CDS	258				hypothetical protein
GJMMAFOP_00321	CDS	894	dpaA_1	1.3.1.-		Dipicolinate synthase subunit A
GJMMAFOP_00322	CDS	603	dpaB_1	1.3.1.-	COG0452	Dipicolinate synthase subunit B
GJMMAFOP_00323	CDS	1041	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
GJMMAFOP_00324	CDS	1215	ask	2.7.2.4	COG0527	Aspartokinase
GJMMAFOP_00325	CDS	873	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
GJMMAFOP_00326	CDS	1668	rnjB_1	3.1.-.-	COG0595	Ribonuclease J2
GJMMAFOP_00327	CDS	738	tepA_1		COG0740	Translocation-enhancing protein TepA
GJMMAFOP_00328	CDS	213				hypothetical protein
GJMMAFOP_00329	CDS	2364	spoIIIE_1		COG1674	DNA translocase SpoIIIE
GJMMAFOP_00330	CDS	726	nagR_1		COG2188	HTH-type transcriptional repressor NagR
GJMMAFOP_00331	CDS	1209	ymfD_2			Bacillibactin exporter
GJMMAFOP_00332	CDS	1281				hypothetical protein
GJMMAFOP_00333	CDS	1287				hypothetical protein
GJMMAFOP_00334	CDS	729	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GJMMAFOP_00335	CDS	258	yflH_1			putative protein YflH
GJMMAFOP_00336	CDS	792				hypothetical protein
GJMMAFOP_00337	CDS	915				hypothetical protein
GJMMAFOP_00338	CDS	582	pgsA_1	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
GJMMAFOP_00339	CDS	1251	cinA_1		COG1058	Putative competence-damage inducible protein
GJMMAFOP_00340	CDS	1047	recA_1		COG0468	Protein RecA
GJMMAFOP_00341	CDS	1176	pbpX_1		COG1680	Putative penicillin-binding protein PbpX
GJMMAFOP_00342	CDS	1563	rny_1	3.1.-.-	COG1418	Ribonuclease Y
GJMMAFOP_00343	CDS	795	ymdB_1	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
GJMMAFOP_00344	CDS	261	spoVS_1		COG2359	Stage V sporulation protein S
GJMMAFOP_00345	CDS	1044	tdh_1	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
GJMMAFOP_00346	CDS	1179		2.3.1.29	COG0156	8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase
GJMMAFOP_00347	CDS	1530	miaB_1	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
GJMMAFOP_00348	CDS	432	ymcA_1		COG4550	putative protein YmcA
GJMMAFOP_00349	CDS	546	cotE_1			Spore coat protein E
GJMMAFOP_00350	CDS	2577	mutS_1		COG0249	DNA mismatch repair protein MutS
GJMMAFOP_00351	CDS	1890	mutL_1		COG0323	DNA mismatch repair protein MutL
GJMMAFOP_00352	CDS	456				hypothetical protein
GJMMAFOP_00353	CDS	105				hypothetical protein
GJMMAFOP_00354	CDS	558				hypothetical protein
GJMMAFOP_00355	CDS	618	betI_1		COG1309	HTH-type transcriptional regulator BetI
GJMMAFOP_00356	CDS	678	pksB	3.-.-.-	COG0491	putative polyketide biosynthesis zinc-dependent hydrolase PksB
GJMMAFOP_00357	CDS	867	pksC	2.3.1.39	COG0331	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase PksC
GJMMAFOP_00358	CDS	975	pksD	2.3.1.-		Polyketide biosynthesis acyltransferase PksD
GJMMAFOP_00359	CDS	2304	pksE		COG0331	Polyketide biosynthesis protein PksE
GJMMAFOP_00360	CDS	249	acpK		COG0236	Polyketide biosynthesis acyl-carrier-protein AcpK
GJMMAFOP_00361	CDS	1248	pksF	4.1.1.87	COG0304	Polyketide biosynthesis malonyl-ACP decarboxylase PksF
